StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q0.00,Q0.01,Q0.2,Q0.0.2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,PROLIFIC_PID,FL_5_DO
2022-11-23 11:49:56,2022-11-23 11:51:30,IP Address,107.140.223.221,100,93,True,2022-11-23 11:51:30,R_2U3N7ZGGF6C0Ch8,,,,,33.1371,-96.7488,anonymous,EN,"Yes, I consent","Yes, I commit",6045c416b5547f70e3917c12,,Entertainment,Other,Other,Working from home,A little,A little,A little,Not at all important,Very important,1 Day,6045c416b5547f70e3917c12,TreatmentBlock
2022-11-23 11:50:45,2022-11-23 11:51:30,IP Address,68.132.109.9,100,44,True,2022-11-23 11:51:31,R_3Jtvhuf74fTbBz2,,,,,40.7621,-73.3313,anonymous,EN,"Yes, I consent","Yes, I commit",,62952c60095ebfbdca7ec2ac,Other,Working from home,Working from home,Working from home,None at all,A little,A little,Slightly important,Extremely important,1 Day,62952c60095ebfbdca7ec2ac,ControlBlock
2022-11-23 11:50:37,2022-11-23 11:51:44,IP Address,207.181.200.179,100,66,True,2022-11-23 11:51:44,R_1kLGcptH7ZlmLJ7,,,,,41.8972,-87.6196,anonymous,EN,"Yes, I consent","Yes, I commit",61160189e88d439232bca89e,,Other,Working from an office,Working from home,Other,None at all,A little,A great deal,Slightly important,Extremely important,1 Day,61160189e88d439232bca89e,TreatmentBlock
2022-11-23 11:50:37,2022-11-23 11:52:05,IP Address,73.22.220.25,100,88,True,2022-11-23 11:52:06,R_1kNPz6ncdny0Q5W,,,,,42.0754,-87.8222,anonymous,EN,"Yes, I consent","Yes, I commit",580145ebf35f130001c36157,,Other,Working from an office,Working from home,Working from home,A lot,A lot,A lot,Moderately important,Very important,1 Day,580145ebf35f130001c36157,TreatmentBlock
2022-11-23 11:50:36,2022-11-23 11:52:28,IP Address,65.184.21.108,100,111,True,2022-11-23 11:52:28,R_2disNIZyc62IxwN,,,,,35.377,-81.3538,anonymous,EN,"Yes, I consent","Yes, I commit",5849061d0c097700012a1ed4,,Construction,Other,Other,Other,None at all,None at all,A little,Not at all important,Moderately important,1 Day,5849061d0c097700012a1ed4,TreatmentBlock
2022-11-23 11:51:27,2022-11-23 11:52:38,IP Address,50.5.55.88,100,70,True,2022-11-23 11:52:38,R_3QQ0Hf4cbcnkIye,,,,,39.0055,-84.6006,anonymous,EN,"Yes, I consent","Yes, I commit",,60fe47b274576eb477b06e6d,Technology,Working from an office,Working from home,Working from an office,A moderate amount,A great deal,A lot,Moderately important,Moderately important,3 Days,60fe47b274576eb477b06e6d,ControlBlock
2022-11-23 11:52:07,2022-11-23 11:52:57,IP Address,73.53.232.3,100,50,True,2022-11-23 11:52:57,R_2bU9dSG3X4DtiJw,,,,,30.132,-81.7726,anonymous,EN,"Yes, I consent","Yes, I commit",,604fe822b095421e07e3f93e,Technology,Working from an office,Working from home,Working from home,None at all,A moderate amount,A moderate amount,Slightly important,Very important,1 Day,604fe822b095421e07e3f93e,ControlBlock
2022-11-23 11:51:51,2022-11-23 11:53:30,IP Address,74.130.242.206,100,99,True,2022-11-23 11:53:30,R_2zMzAyCTG97q0H7,,,,,37.019,-86.4537,anonymous,EN,"Yes, I consent","Yes, I commit",6151e17dd596caee8fc6b73c,,Technology,Other,Working from home,Working from home,A little,A moderate amount,A moderate amount,Slightly important,Very important,1 Day,6151e17dd596caee8fc6b73c,TreatmentBlock
2022-11-23 11:52:43,2022-11-23 11:53:37,IP Address,172.58.203.99,100,54,True,2022-11-23 11:53:38,R_2B2PItNOrdINM0r,,,,,40.0356,-75.1763,anonymous,EN,"Yes, I consent","Yes, I commit",605bc8caf9e0b0f799baf6da,,Hospitality,Working from an office,Working from home,Working from home,None at all,A little,A moderate amount,Not at all important,Not at all important,1 Day,605bc8caf9e0b0f799baf6da,TreatmentBlock
2022-11-23 11:53:02,2022-11-23 11:53:59,IP Address,155.190.21.7,100,57,True,2022-11-23 11:54:00,R_10vdVQrOaCViBcN,,,,,37.751,-97.822,anonymous,EN,"Yes, I consent","Yes, I commit",,5dedb806838b4f46c8d183a5,Other,Working from an office,Working from home,Other,None at all,A little,A little,Slightly important,Moderately important,1 Day,5dedb806838b4f46c8d183a5,ControlBlock
2022-11-23 11:53:28,2022-11-23 11:54:03,IP Address,98.235.49.119,100,35,True,2022-11-23 11:54:04,R_1CKLovX38q8SrJb,,,,,40.2744,-76.7062,anonymous,EN,"Yes, I consent","Yes, I commit",,558fd02cfdf99b39cb035e5d,Technology,Working from home,Working from home,Working from home,None at all,A little,A moderate amount,Slightly important,Moderately important,1 Day,558fd02cfdf99b39cb035e5d,ControlBlock
2022-11-23 11:52:47,2022-11-23 11:54:22,IP Address,173.75.210.227,100,95,True,2022-11-23 11:54:22,R_9BOjyG6Io2np3Fv,,,,,40.4323,-75.1091,anonymous,EN,"Yes, I consent","Yes, I commit",,5ae3563e5cd05500015ed96b,Other,Working from an office,Working from an office,Other,None at all,None at all,None at all,Not at all important,Extremely important,1 Day,5ae3563e5cd05500015ed96b,ControlBlock
2022-11-23 11:49:58,2022-11-23 11:54:26,IP Address,68.8.236.73,100,267,True,2022-11-23 11:54:26,R_33BXbfeU0eZHWav,,,,,33.1986,-117.2461,anonymous,EN,"Yes, I consent","Yes, I commit",,57fbe878035f6e0001d71a8c,Technology,Working from an office,Working from home,Working from an office,A moderate amount,None at all,A little,Slightly important,Very important,1 Day,57fbe878035f6e0001d71a8c,ControlBlock
2022-11-23 11:53:29,2022-11-23 11:54:27,IP Address,47.25.192.226,100,58,True,2022-11-23 11:54:28,R_2fs5grFB4PA7K8p,,,,,45.6728,-121.5398,anonymous,EN,"Yes, I consent","Yes, I commit",,5eb33612d573b51326905f30,Other,Working from an office,Working from home,Working from home,A great deal,A moderate amount,None at all,Not at all important,Extremely important,1 Day,5eb33612d573b51326905f30,ControlBlock
2022-11-23 11:53:25,2022-11-23 11:54:36,IP Address,174.81.199.16,100,71,True,2022-11-23 11:54:37,R_2bNWPeIFxxGc8tR,,,,,43.0352,-83.5248,anonymous,EN,"Yes, I consent","Yes, I commit",5cc5e72ce3c44e0015fdf990,,Entertainment,Working from home,Working from home,Working from home,None at all,None at all,A little,Not at all important,Extremely important,1 Day,5cc5e72ce3c44e0015fdf990,TreatmentBlock
2022-11-23 11:53:53,2022-11-23 11:54:40,IP Address,99.183.188.138,100,46,True,2022-11-23 11:54:40,R_2Y5hjKRBuxo840s,,,,,41.3154,-81.6215,anonymous,EN,"Yes, I consent","Yes, I commit",5fff542aeed8c2065133114e,,Healthcare,Working from an office,Working from home,Working from home,A little,A moderate amount,A lot,Slightly important,Moderately important,2 Days,5fff542aeed8c2065133114e,TreatmentBlock
2022-11-23 11:52:59,2022-11-23 11:55:04,IP Address,192.180.185.210,100,125,True,2022-11-23 11:55:05,R_Q5FGmd37031RhrH,,,,,38.1774,-85.5209,anonymous,EN,"Yes, I consent","Yes, I commit",606479c20b621e3a22d6c0d5,,Other,Other,Working from home,Other,None at all,A little,A little,Not at all important,Very important,1 Day,606479c20b621e3a22d6c0d5,TreatmentBlock
2022-11-23 11:52:01,2022-11-23 11:55:06,IP Address,75.136.86.75,100,185,True,2022-11-23 11:55:07,R_3g6Hqm3OYJEEoMU,,,,,42.2555,-71.7719,anonymous,EN,"Yes, I consent","Yes, I commit",62865e3456c142785cfad2a7,,Other,Other,Working from home,Working from home,A little,A little,A little,Not at all important,Extremely important,1 Day,62865e3456c142785cfad2a7,TreatmentBlock
2022-11-23 11:53:51,2022-11-23 11:55:26,IP Address,74.77.244.229,100,94,True,2022-11-23 11:55:26,R_2zjycCKh2yZayR9,,,,,42.4325,-79.3329,anonymous,EN,"Yes, I consent","Yes, I commit",,558ffe16fdf99b3f7aada34d,Other,Working from home,Working from home,Working from home,None at all,A moderate amount,A little,Slightly important,Extremely important,1 Day,558ffe16fdf99b3f7aada34d,ControlBlock
2022-11-23 11:54:21,2022-11-23 11:55:30,IP Address,74.130.77.106,100,69,True,2022-11-23 11:55:30,R_3GwVEjvXRlcr2Cx,,,,,38.2634,-85.673,anonymous,EN,"Yes, I consent","Yes, I commit",,60fd080d5476f4a77211bafb,Education,Working from home,Working from home,Working from home,None at all,None at all,None at all,Not at all important,Extremely important,1 Day,60fd080d5476f4a77211bafb,ControlBlock
2022-11-23 11:54:57,2022-11-23 11:55:48,IP Address,73.151.211.55,100,50,True,2022-11-23 11:55:49,R_Pt9OsvE0bx06QCd,,,,,37.6567,-121.4955,anonymous,EN,"Yes, I consent","Yes, I commit",,5ae7f99bd5ec5e000175f097,Manufacturing,Working from an office,Working from home,Working from an office,A little,A little,A lot,Moderately important,Moderately important,2 Days,5ae7f99bd5ec5e000175f097,ControlBlock
2022-11-23 11:53:40,2022-11-23 11:55:52,IP Address,172.56.248.36,100,131,True,2022-11-23 11:55:52,R_TbXGIsU8Jlbvr7b,,,,,39.8079,-86.0949,anonymous,EN,"Yes, I consent","Yes, I commit",632c0075227e9b734c80424d,,Agriculture,Other,Working from home,Working from home,A lot,A great deal,A lot,Moderately important,Very important,5 Days,632c0075227e9b734c80424d,TreatmentBlock
2022-11-23 11:54:16,2022-11-23 11:56:06,IP Address,108.209.7.253,100,109,True,2022-11-23 11:56:06,R_2zGuFuuuEt1cy5H,,,,,29.6968,-95.5446,anonymous,EN,"Yes, I consent","Yes, I commit",5ffa65ae7211c742f5e88aaf,,Technology,Working from home,Working from home,Working from home,None at all,None at all,None at all,Not at all important,Extremely important,5 Days,5ffa65ae7211c742f5e88aaf,TreatmentBlock
2022-11-23 11:54:50,2022-11-23 11:56:07,IP Address,173.173.38.108,100,76,True,2022-11-23 11:56:07,R_1gLq2h8ZSUsGB8L,,,,,31.5822,-97.1768,anonymous,EN,"Yes, I consent","Yes, I commit",,5c1d10be426c440001885e1c,Other,Working from an office,Working from home,Working from an office,None at all,A lot,A great deal,Moderately important,Very important,3 Days,5c1d10be426c440001885e1c,ControlBlock
2022-11-23 11:54:57,2022-11-23 11:56:08,IP Address,73.211.128.91,100,70,True,2022-11-23 11:56:08,R_AG48T9MIBRdIBbP,,,,,41.9228,-88.0756,anonymous,EN,"Yes, I consent","Yes, I commit",,5ee71ce25f11c84a3e909b09,Other,Working from home,Working from home,Working from home,None at all,A little,A moderate amount,Moderately important,Extremely important,1 Day,5ee71ce25f11c84a3e909b09,ControlBlock
2022-11-23 11:55:28,2022-11-23 11:56:11,IP Address,172.58.204.178,100,42,True,2022-11-23 11:56:11,R_3e9SXvHPi5f4Tk5,,,,,39.9943,-75.1181,anonymous,EN,"Yes, I consent","Yes, I commit",5c16e72c91defa000115c8ec,,Other,Working from an office,Working from home,Working from home,None at all,A moderate amount,A lot,Not at all important,Extremely important,1 Day,5c16e72c91defa000115c8ec,TreatmentBlock
2022-11-23 11:54:59,2022-11-23 11:56:12,IP Address,24.205.86.183,100,73,True,2022-11-23 11:56:12,R_2uEF2DNoUJ4EJEc,,,,,34.1648,-118.1515,anonymous,EN,"Yes, I consent","Yes, I commit",,62e85346fa2d55eacfe3f60e,Technology,Working from an office,Working from an office,Working from an office,A little,A moderate amount,A lot,Moderately important,Very important,2 Days,62e85346fa2d55eacfe3f60e,ControlBlock
2022-11-23 11:55:02,2022-11-23 11:56:15,IP Address,67.58.248.47,100,73,True,2022-11-23 11:56:16,R_8oi2juF6PnAWRXj,,,,,39.4849,-88.1805,anonymous,EN,"Yes, I consent","Yes, I commit",60b91e7f81b40fd08d67baaa,,Other,Working from home,Working from home,Working from home,A little,A moderate amount,A moderate amount,Slightly important,Extremely important,1 Day,60b91e7f81b40fd08d67baaa,TreatmentBlock
2022-11-23 11:55:19,2022-11-23 11:56:15,IP Address,75.48.78.21,100,56,True,2022-11-23 11:56:16,R_2vYPVi6eXSVIm8C,,,,,37.9545,-121.9759,anonymous,EN,"Yes, I consent","Yes, I commit",,5dd33f6b2091e93579973754,Other,Working from an office,Working from home,Working from home,A little,A moderate amount,A moderate amount,Moderately important,Moderately important,1 Day,5dd33f6b2091e93579973754,ControlBlock
2022-11-23 11:55:07,2022-11-23 11:56:18,IP Address,98.35.193.183,100,71,True,2022-11-23 11:56:19,R_2t3tmTy4ZzHlftX,,,,,37.6873,-121.8957,anonymous,EN,"Yes, I consent","Yes, I commit",61004e962509f21ce295df3d,,Media,Working from home,Working from home,Working from home,A little,None at all,A little,Slightly important,Extremely important,1 Day,61004e962509f21ce295df3d,TreatmentBlock
2022-11-23 11:54:54,2022-11-23 11:56:23,IP Address,172.58.110.132,100,89,True,2022-11-23 11:56:23,R_07GugqUEpiy475L,,,,,32.7319,-96.9057,anonymous,EN,"Yes, I consent","Yes, I commit",6312fb265eb1e756a4934182,,Manufacturing,Working from an office,Working from an office,Working from an office,None at all,A moderate amount,A great deal,Moderately important,Very important,5 Days,6312fb265eb1e756a4934182,TreatmentBlock
2022-11-23 11:54:41,2022-11-23 11:56:40,IP Address,72.203.59.4,100,119,True,2022-11-23 11:56:40,R_3CBmFXSPXjh5MZn,,,,,36.1962,-115.2633,anonymous,EN,"Yes, I consent","Yes, I commit",5ec9cf3ed4642d4ebb802b42,,Other,Working from an office,Working from home,Working from home,A moderate amount,A moderate amount,A lot,Moderately important,Slightly important,3 Days,5ec9cf3ed4642d4ebb802b42,TreatmentBlock
2022-11-23 11:55:41,2022-11-23 11:57:01,IP Address,63.225.81.249,100,80,True,2022-11-23 11:57:01,R_sv5VYUna6MJdQ3f,,,,,45.6728,-121.5398,anonymous,EN,"Yes, I consent","Yes, I commit",,596bac33670f410001fe9c07,Other,Working from home,Working from home,Working from home,A little,A moderate amount,A lot,Slightly important,Moderately important,1 Day,596bac33670f410001fe9c07,ControlBlock
2022-11-23 11:56:07,2022-11-23 11:57:16,IP Address,147.92.48.67,100,69,True,2022-11-23 11:57:17,R_3ssmhQxt5SZgN5P,,,,,42.1399,-98.0135,anonymous,EN,"Yes, I consent","Yes, I commit",,60c81a232837d9f7d4a641bf,Other,Working from an office,Working from home,Working from home,None at all,A little,A moderate amount,Slightly important,Moderately important,2 Days,60c81a232837d9f7d4a641bf,ControlBlock
2022-11-23 11:56:11,2022-11-23 11:57:22,IP Address,98.61.98.2,100,70,True,2022-11-23 11:57:23,R_R2LavFQ30rrAoa5,,,,,45.08,-93.0227,anonymous,EN,"Yes, I consent","Yes, I commit",615c777509f34c8977bc45a7,,Technology,Working from an office,Working from home,Other,A little,A lot,A little,Moderately important,Moderately important,3 Days,615c777509f34c8977bc45a7,TreatmentBlock
2022-11-23 11:55:10,2022-11-23 11:57:28,IP Address,141.151.92.63,100,138,True,2022-11-23 11:57:29,R_OfBQvpLPWoeGhQl,,,,,39.7979,-75.5317,anonymous,EN,"Yes, I consent","Yes, I commit",5d58b018a0c0940001a47057,,Other,Working from home,Working from home,Working from home,A moderate amount,A lot,A lot,Moderately important,Moderately important,3 Days,5d58b018a0c0940001a47057,TreatmentBlock
2022-11-23 11:55:15,2022-11-23 11:57:36,IP Address,67.160.54.227,100,141,True,2022-11-23 11:57:36,R_3Geqbfc0Ph9NCz6,,,,,47.6674,-122.3701,anonymous,EN,"Yes, I consent","Yes, I commit",,6286720235c69e3ad5e82061,Other,Working from an office,Working from home,Other,None at all,A moderate amount,A lot,Slightly important,Very important,1 Day,6286720235c69e3ad5e82061,ControlBlock
2022-11-23 11:57:01,2022-11-23 11:57:40,IP Address,24.127.248.75,100,39,True,2022-11-23 11:57:41,R_XN7VCsNNB3SlFnP,,,,,42.7506,-83.5356,anonymous,EN,"Yes, I consent","Yes, I commit",,632478adebdcd9af1ad6de12,Technology,Working from an office,Working from home,Working from home,A little,A little,A lot,Slightly important,Very important,1 Day,632478adebdcd9af1ad6de12,ControlBlock
2022-11-23 11:56:22,2022-11-23 11:58:12,IP Address,75.108.183.70,100,109,True,2022-11-23 11:58:12,R_ZdwjSIlvbOg5Pk5,,,,,30.439,-95.5384,anonymous,EN,"Yes, I consent","Yes, I commit",55bb9ae7fdf99b26d27fda01,,Other,Working from home,Working from home,Working from home,None at all,A little,A moderate amount,Slightly important,Moderately important,2 Days,55bb9ae7fdf99b26d27fda01,TreatmentBlock
2022-11-23 11:57:38,2022-11-23 11:58:35,IP Address,73.171.180.121,100,56,True,2022-11-23 11:58:35,R_2Sr9eY0dU8ZecYM,,,,,29.9475,-81.5264,anonymous,EN,"Yes, I consent","Yes, I commit",6234790e93ccbf5fc88ad4fe,,Other,Working from an office,Working from home,Working from an office,A little,A great deal,A great deal,Very important,Not at all important,3 Days,6234790e93ccbf5fc88ad4fe,TreatmentBlock
2022-11-23 11:57:46,2022-11-23 11:58:36,IP Address,76.26.99.170,100,50,True,2022-11-23 11:58:37,R_Q6UYR6To89V5JXX,,,,,35.141,-106.711,anonymous,EN,"Yes, I consent","Yes, I commit",5c7e843f9c3fc00016f4e5a1,,Manufacturing,Working from an office,Working from home,Working from an office,A moderate amount,A moderate amount,A great deal,Very important,Slightly important,4 Days,5c7e843f9c3fc00016f4e5a1,TreatmentBlock
2022-11-23 11:57:50,2022-11-23 11:58:41,IP Address,69.14.68.202,100,50,True,2022-11-23 11:58:41,R_22WVftHaoioWkGC,,,,,42.7264,-83.1599,anonymous,EN,"Yes, I consent","Yes, I commit",,6106bad588d258f0bdce42c9,Media,Working from an office,Working from home,Working from home,A moderate amount,None at all,A great deal,Moderately important,Moderately important,2 Days,6106bad588d258f0bdce42c9,ControlBlock
2022-11-23 11:58:11,2022-11-23 11:58:56,IP Address,173.49.93.136,100,45,True,2022-11-23 11:58:57,R_2v1dysWQ3LU7fvI,,,,,40.0574,-75.4017,anonymous,EN,"Yes, I consent","Yes, I commit",58f3760092ac81000154f8af,,Technology,Working from an office,Working from home,Working from home,A little,A moderate amount,A moderate amount,Slightly important,Moderately important,2 Days,58f3760092ac81000154f8af,TreatmentBlock
2022-11-23 11:57:53,2022-11-23 11:59:00,IP Address,72.205.34.117,100,67,True,2022-11-23 11:59:00,R_3338IhnYQi1zgIn,,,,,38.7609,-77.1553,anonymous,EN,"Yes, I consent","Yes, I commit",,5dc1ce524d2b6613ad855676,Other,Working from home,Working from home,Working from home,None at all,None at all,None at all,Not at all important,Extremely important,5 Days,5dc1ce524d2b6613ad855676,ControlBlock
